;;; ONCOPROD RS ;; ONCOPROD PE ;;ONCOPROD SP;;;;;;;;ONCOPROD DF;;;;;;; ONCOPROD ES  ;;
Cï¿½D;CLASSIFICAï¿½ï¿½O FISCAL;ORIGEM;  ICMS 17% ;  ICMS 18% ;  ICMS 17% ;  ICMS 18% ; ICMS 12%; ICMS 17%;CLIENTES GO; ICMS 17,5%; ICMS 18%; CLIENTES SP; CLIENTES SPI; ICMS 20% ; ICMS 12%;   ICMS 17% ;   CLIENTES DF ;   ICMS 17,5% ;   ICMS 18% ;  CLIENTES SPI ; ICMS 20% ; ICMS 12%;ICMS 17%;ICMS 18%
328;TRIBUTADO;IMPORTADO;141,05;141,05;0;132,01;0;141,05;0;141,95;142,86;0;0;146,62;0;141,95;123,07;0;151,38;151,38;0;0;141,05;0
329;CONVÊNIO 118;NACIONAL;3453,35;3453,35;3453,35;3453,35;0;3453,35;3453,35;3453,35;3453,35;0;0;3453,35;0;3453,35;3453,35;3453,35;3453,35;3453,35;3453,35;0;3453,35;3453,35
331;TRIBUTADO;IMPORTADO;1676,67;1676,67;0;1697,12;0;1676,67;0;1686,84;1697,12;0;0;1739,55;0;1676,67;1676,67;0;1697,12;1697,12;0;0;1676,67;0
339;TRIBUTADO;IMPORTADO;338,65;338,65;0;342,77;0;338,65;0;340,7;342,77;0;0;351,34;0;338,65;338,65;0;342,77;342,77;0;0;338,65;0
341;CONVÊNIO 118;IMPORTADO;4775,49;4775,49;4775,49;4775,49;0;4775,49;5753,6;4775,49;4775,49;0;0;4775,49;0;0;4775,49;0;4775,49;4775,49;0;0;4775,49;4775,49
342;TRIBUTADO;NACIONAL;174,86;174,86;0;173,22;0;0;0;0;0;0;0;0;0;165,67;155,58;166,77;167,85;167,85;172,39;0;174,82;0
345;TRIBUTADO;IMPORTADO;270,6;273,9;0;273,9;0;270,6;0;272,24;273,9;0;0;280,75;0;270,6;270,6;0;273,9;273,9;0;0;270,6;0
347;TRIBUTADO;NACIONAL;1934,34;1934,34;0;2035,28;0;0;0;0;0;0;0;0;0;1847,55;1737,4;1859,31;1871,23;1871,23;1920,46;0;1934,38;0
348;TRIBUTADO;NACIONAL;773,74;773,74;0;814,09;0;0;0;0;0;0;0;0;0;739,01;694,95;743,71;748,48;748,48;768,17;0;773,74;0
353;CONVÊNIO 118;NACIONAL;147;147;147;147;0;147;147;147;147;0;0;147;0;147;147;147;147;147;147;0;147;147
354;CONVÊNIO 118;NACIONAL;161,17;161,17;161,17;161,17;0;161,17;161,17;161,17;161,17;0;0;161,17;0;161,17;161,17;161,17;161,17;161,17;161,17;0;161,17;161,17
355;CONVÊNIO 118;NACIONAL;644,69;644,69;644,69;644,69;0;644,69;644,69;644,69;644,69;0;0;644,69;0;644,69;644,69;644,69;644,69;644,69;644,69;0;644,69;644,69
359;CONVÊNIO 118;NACIONAL;239,29;239,29;239,29;239,29;0;239,29;239,29;239,29;239,29;0;0;239,29;0;239,29;239,29;239,29;239,29;239,29;239,29;0;239,29;239,29
360;CONVÊNIO 118;IMPORTADO;488,92;488,92;488,92;488,92;0;488,92;488,92;488,92;488,92;0;0;488,92;0;488,92;488,92;488,92;488,92;488,92;488,92;0;488,92;488,92
361;TRIBUTADO;IMPORTADO;522,16;522,16;0;487,58;0;522,13;0;525,5;528,91;0;0;543,03;0;541,01;455,26;0;548,96;548,96;0;0;522,15;0
372;CONVÊNIO 118;NACIONAL;425,91;425,91;425,91;425,91;425,906312;425,91;476,01;425,91;425,91;0;0;425,91;0;0;425,91;0;425,91;425,91;0;425,906312;425,91;425,91
380;TRIBUTADO;NACIONAL;13181,42;13181,42;0;13342,17;0;0;0;0;0;0;0;0;0;13181,42;13181,42;13261,31;13342,17;13342,17;13675,73;0;13181,42;0
381;CONVÊNIO 118;NACIONAL;28,47;28,47;28,47;28,47;0;28,47;30,38;28,47;28,47;0;0;28,47;0;0;28,47;0;28,47;28,47;0;0;28,47;28,47
382;CONVÊNIO 118;NACIONAL;89,52;89,52;89,52;89,52;0;89,52;95,57;89,52;89,52;0;0;89,52;0;0;89,52;0;89,52;89,52;0;0;89,52;89,52
383;CONVÊNIO 118;NACIONAL;611,85;611,85;611,85;611,85;611,846664;611,85;653,09;611,85;611,85;0;0;611,85;0;0;611,85;0;611,85;611,85;0;611,846664;611,85;611,85
