CODIGO_INTERNO;             ;             FAB;             VALIDADE      ;             ESTOQUE     
3479         ;22C08D                        ;030322    ;300324    ;6         
3479         ;22C9B6                        ;030322    ;300324    ;151       
3479         ;22D311                        ;030322    ;300324    ;11        
3579         ;M008548                       ;010720    ;300623    ;12429     
3579         ;M011668                       ;010920    ;300823    ;4560      
3604         ;DFD0017A                      ;010122    ;301224    ;100       
3604         ;DFD0020A                      ;010122    ;301224    ;151       
3658         ;22G01R                        ;190722    ;300724    ;50        
3721         ;22020230                      ;100122    ;300124    ;2316      
3721         ;22020613                      ;100222    ;300124    ;68        
3765         ;DC22A005                      ;110222    ;300124    ;1         
3875         ;21050094                      ;010521    ;300523    ;5         
4023         ;21100086                      ;200921    ;300923    ;57        
4023         ;22031335                      ;140322    ;140325    ;416       
4023         ;22031424                      ;160322    ;160325    ;88        
4235         ;21050419                      ;030521    ;300523    ;3         
4246         ;XWG                           ;200522    ;300424    ;57        
4327         ;22E23R                        ;200522    ;300524    ;1400      
4327         ;22F28G                        ;100622    ;300624    ;1788      
4327         ;22F39C                        ;060622    ;300624    ;900       
4327         ;22F40C                        ;060622    ;300624    ;1776      
4327         ;22F41C                        ;060622    ;300624    ;1332      
4327         ;22F45B                        ;060622    ;300624    ;1500      
4327         ;22F77D                        ;060622    ;300624    ;720       
4372         ;DS22C104                      ;180322    ;300324    ;133       
4372         ;DS22D159                      ;270422    ;300624    ;674       
4372         ;DS22E212                      ;300522    ;300624    ;176       
4372         ;DS22E213                      ;310522    ;300624    ;150       
4372         ;DS22F216                      ;010622    ;300624    ;64        
4372         ;DS22F217                      ;020622    ;300624    ;936       
4372         ;DS22F231                      ;110622    ;300624    ;218       
4372         ;DS22F232                      ;140622    ;300624    ;782       
4372         ;DS22G264                      ;050722    ;300724    ;893       
4372         ;DS22G265                      ;050722    ;300724    ;107       
4372         ;DS22G286                      ;190722    ;300724    ;51        
4372         ;DS22G287                      ;190722    ;300724    ;449       
4372         ;DS22H332                      ;310822    ;300824    ;869       
4372         ;DS22I333                      ;010922    ;300924    ;631       
4372         ;DS22I342                      ;090922    ;300924    ;36        
4372         ;DS22I344                      ;100922    ;300924    ;464       
4418         ;22F08L                        ;150622    ;300624    ;1176      
4418         ;22F11I                        ;140622    ;300624    ;1176      
4418         ;22F13I                        ;140622    ;300624    ;989       
4418         ;22F68Q                        ;210622    ;300624    ;1164      
4418         ;22F88L                        ;200622    ;300624    ;1176      
4418         ;22G16G                        ;090722    ;300724    ;1164      
